time,level,y,x,air,shum,omega,hgt,uwnd,vwnd,source_file,id1,id2
1849800.0,1000.0,2791818.0,5161615.0,288.65955,0.0040224018,-0.07146633,107.12987,-1.1887512,0.41464233,all_10.0_20110110.csv,,
1849800.0,1000.0,2791818.0,5194078.0,288.20642,0.0041724015,-0.11834133,106.12987,-1.7200012,0.53964233,all_10.0_20110110.csv,,
1849800.0,1000.0,2791818.0,5226541.0,287.7533,0.0045124018,-0.13006008,105.62987,-1.1262512,0.18026733,all_10.0_20110110.csv,,
1849800.0,1000.0,2791818.0,5259004.0,286.97205,0.0047424017,-0.11052883,104.62987,-1.1418762,0.43026733,all_10.0_20110110.csv,,
1849800.0,1000.0,2791818.0,5291467.0,287.05017,0.0051924014,-0.08709133,103.12987,-0.03250122,2.4771423,all_10.0_20110110.csv,,
1849800.0,1000.0,2824281.0,5161615.0,287.8158,0.0043724016,-0.10662258,106.62987,-2.8137512,1.3052673,all_10.0_20110110.csv,,
1849800.0,1000.0,2824281.0,5194078.0,287.5033,0.0046424014,-0.10271633,107.12987,-2.8137512,1.3052673,all_10.0_20110110.csv,,
1849800.0,1000.0,2824281.0,5226541.0,286.51892,0.004822402,-0.11443508,105.62987,-1.9231262,1.3677673,all_10.0_20110110.csv,,
1849800.0,1000.0,2824281.0,5259004.0,286.03455,0.0051224018,-0.11834133,104.12987,1.4987488,5.3521423,all_10.0_20110110.csv,,
1849800.0,1000.0,2824281.0,5291467.0,285.70642,0.0054124016,-0.17302883,101.62987,1.5299988,5.3365173,all_10.0_20110110.csv,,
1849800.0,1000.0,2856744.0,5161615.0,286.8158,0.0047324016,-0.09490383,105.62987,-2.7668762,3.8365173,all_10.0_20110110.csv,,
1849800.0,1000.0,2856744.0,5194078.0,286.89392,0.0052724015,-0.09881008,105.12987,-0.7512512,5.6177673,all_10.0_20110110.csv,,
1849800.0,1000.0,2856744.0,5226541.0,285.3783,0.0052424017,-0.09490383,103.62987,2.0924988,6.5552673,all_10.0_20110110.csv,,
